line,region,ambient,year,año,specid,spcode,splatname,rep1,rep2,rep3,rep4
C2,Bosque,Cipresal,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
C4,Bosque,Cipresal,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
C5,Bosque,Cipresal,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
C7,Bosque,Cipresal,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
C8,Bosque,Cipresal,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
C9,Bosque,Cipresal,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
C10,Bosque,Cipresal,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
C11,Bosque,Cipresal,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,1,NA
A1,NA,NA,3,2009,1,OLILON,Oligoryzomys longicaudatus,NA,NA,NA,NA
A2,NA,NA,3,2009,1,OLILON,Oligoryzomys longicaudatus,NA,NA,NA,NA
A3,NA,NA,3,2009,1,OLILON,Oligoryzomys longicaudatus,NA,NA,NA,NA
A4,NA,NA,3,2009,1,OLILON,Oligoryzomys longicaudatus,NA,NA,NA,NA
A5,NA,NA,3,2009,1,OLILON,Oligoryzomys longicaudatus,NA,NA,NA,NA
A6,NA,NA,3,2009,1,OLILON,Oligoryzomys longicaudatus,NA,NA,NA,NA
A7,NA,NA,3,2009,1,OLILON,Oligoryzomys longicaudatus,NA,NA,NA,NA
